price_date,symbol,asset_type,source_name,open,high,low,close,adjusted_close,volume,currency
2020-02-11,AAPL,equity,yahoo,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,77.2260513305664,94323200.0,USD
2020-02-12,AAPL,equity,yahoo,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.06000518798828,113730400.0,USD
2020-02-13,AAPL,equity,yahoo,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,78.49701690673828,94747600.0,USD
2020-02-14,AAPL,equity,yahoo,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,78.516357421875,80113600.0,USD
2020-02-18,AAPL,equity,yahoo,78.83999633789062,79.9375,78.65249633789062,79.75,77.07865905761719,152531200.0,USD
2020-02-19,AAPL,equity,yahoo,80.0,81.14250183105469,80.0,80.90499877929688,78.19498443603516,93984000.0,USD
2020-02-20,AAPL,equity,yahoo,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,77.39279174804688,100566000.0,USD
2020-02-21,AAPL,equity,yahoo,79.65499877929688,80.11250305175781,77.625,78.26249694824219,75.6409912109375,129554000.0,USD
2020-02-24,AAPL,equity,yahoo,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.04801177978516,222195200.0,USD
2020-02-25,AAPL,equity,yahoo,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,69.60759735107422,230673600.0,USD
2020-02-26,AAPL,equity,yahoo,71.63249969482422,74.47000122070312,71.625,73.1624984741211,70.7118148803711,198054800.0,USD
2020-02-27,AAPL,equity,yahoo,70.2750015258789,71.5,68.23999786376953,68.37999725341797,66.08952331542969,320605600.0,USD
2020-02-28,AAPL,equity,yahoo,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,66.05085754394531,426510000.0,USD
2020-03-02,AAPL,equity,yahoo,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.20024108886719,341397200.0,USD
2020-03-03,AAPL,equity,yahoo,75.9175033569336,76.0,71.44999694824219,72.33000183105469,69.90719604492188,319475600.0,USD
2020-03-04,AAPL,equity,yahoo,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,73.14982604980469,219178400.0,USD
2020-03-05,AAPL,equity,yahoo,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,70.7770767211914,187572800.0,USD
2020-03-06,AAPL,equity,yahoo,70.5,72.70500183105469,70.30750274658203,72.25749969482422,69.83714294433594,226176800.0,USD
2020-03-09,AAPL,equity,yahoo,65.9375,69.52249908447266,65.75,66.5425033569336,64.3135757446289,286744800.0,USD
2020-03-10,AAPL,equity,yahoo,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,68.94552612304688,285290000.0,USD
2020-03-11,AAPL,equity,yahoo,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,66.5510025024414,255598800.0,USD
2020-03-12,AAPL,equity,yahoo,63.98500061035156,67.5,62.0,62.057498931884766,59.97880554199219,418474000.0,USD
2020-03-13,AAPL,equity,yahoo,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.16474914550781,370732000.0,USD
2020-03-16,AAPL,equity,yahoo,60.48749923706055,64.7699966430664,60.0,60.5525016784668,58.52422332763672,322423600.0,USD
2020-03-17,AAPL,equity,yahoo,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,61.09752655029297,324056000.0,USD
2020-03-18,AAPL,equity,yahoo,59.942501068115234,62.5,59.279998779296875,61.66749954223633,59.601871490478516,300233600.0,USD
2020-03-19,AAPL,equity,yahoo,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,59.14519119262695,271857200.0,USD
2020-03-20,AAPL,equity,yahoo,61.79499816894531,62.95750045776367,57.0,57.310001373291016,55.39031219482422,401693200.0,USD
2020-03-23,AAPL,equity,yahoo,57.02000045776367,57.125,53.15250015258789,56.092498779296875,54.21360397338867,336752800.0,USD
2020-03-24,AAPL,equity,yahoo,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,59.65260314941406,287531200.0,USD
2020-03-25,AAPL,equity,yahoo,62.6875,64.5625,61.07500076293945,61.380001068115234,59.323997497558594,303602000.0,USD
2020-03-26,AAPL,equity,yahoo,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,62.44580078125,252087200.0,USD
2020-03-27,AAPL,equity,yahoo,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,59.860408782958984,204216800.0,USD
2020-03-30,AAPL,equity,yahoo,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,61.568702697753906,167976400.0,USD
2020-03-31,AAPL,equity,yahoo,63.900001525878906,65.62249755859375,63.0,63.5724983215332,61.44305419921875,197002000.0,USD
2020-04-01,AAPL,equity,yahoo,61.625,62.18000030517578,59.782501220703125,60.227500915527344,58.21009826660156,176218400.0,USD
